date,sector,business_type,estimated_transactions,estimated_revenue
2026-02-17,Market Street,Food & Beverage,381,133350
2026-02-17,Tech Park,Healthcare,72,108000
2026-02-17,Tech Park,Entertainment,123,61500
2026-02-17,Tech Park,Services,88,105600
2026-02-17,Tech Park,Retail,179,143200
2026-02-17,Old Town,Entertainment,92,46000
2026-02-17,Old Town,Grocery,179,107400
2026-02-17,Old Town,Retail,118,94400
2026-02-17,Old Town,Services,83,99600
2026-02-17,Old Town,Food & Beverage,238,83300
2026-02-17,Old Town,Healthcare,43,64500
2026-02-17,Riverside,Food & Beverage,133,46550
2026-02-17,Riverside,Healthcare,26,39000
2026-02-17,Riverside,Grocery,91,54600
2026-02-17,Riverside,Retail,66,52800
2026-02-17,Riverside,Services,39,46800
2026-02-17,College Road,Retail,164,131200
2026-02-17,College Road,Grocery,204,122400
2026-02-17,College Road,Entertainment,101,50500
2026-02-17,College Road,Services,74,88800
2026-02-17,College Road,Food & Beverage,250,87500
2026-02-17,College Road,Healthcare,50,75000
2026-02-17,Industrial Zone,Entertainment,56,28000
2026-02-17,Industrial Zone,Retail,51,40800
2026-02-17,Industrial Zone,Services,33,39600
2026-02-17,Industrial Zone,Healthcare,22,33000
2026-02-17,Industrial Zone,Food & Beverage,121,42350
2026-02-17,Industrial Zone,Grocery,75,45000
2026-02-17,Central Mall,Healthcare,67,100500
2026-02-17,Central Mall,Retail,205,164000
2026-02-17,Central Mall,Entertainment,158,79000
2026-02-17,Central Mall,Grocery,256,153600
2026-02-17,Station Area,Grocery,228,136800
2026-02-17,Station Area,Retail,122,97600
2026-02-17,Station Area,Food & Beverage,292,102200
2026-02-17,Station Area,Entertainment,133,66500
2026-02-18,Market Street,Retail,171,136800
2026-02-18,Market Street,Healthcare,70,105000
2026-02-18,Market Street,Entertainment,131,65500
2026-02-18,Market Street,Services,89,106800
2026-02-18,Market Street,Grocery,281,168600
2026-02-18,Market Street,Food & Beverage,268,93800
2026-02-18,Tech Park,Healthcare,58,87000
2026-02-18,Tech Park,Entertainment,145,72500
2026-02-18,Tech Park,Services,106,127200
2026-02-18,Tech Park,Retail,188,150400
2026-02-18,Old Town,Entertainment,78,39000
2026-02-18,Old Town,Grocery,141,84600
2026-02-18,Old Town,Retail,105,84000
2026-02-18,Old Town,Services,59,70800
2026-02-18,Old Town,Food & Beverage,194,67900
2026-02-18,Old Town,Healthcare,38,57000
2026-02-18,Riverside,Food & Beverage,122,42700
2026-02-18,Riverside,Healthcare,33,49500
2026-02-18,Riverside,Grocery,122,73200
2026-02-18,Riverside,Retail,102,81600
2026-02-18,Riverside,Services,49,58800
2026-02-18,College Road,Retail,193,154400
2026-02-18,College Road,Grocery,243,145800
2026-02-18,College Road,Entertainment,158,79000
2026-02-18,College Road,Services,97,116400
2026-02-18,College Road,Food & Beverage,287,100450
2026-02-18,College Road,Healthcare,71,106500
2026-02-18,Industrial Zone,Entertainment,51,25500
2026-02-18,Industrial Zone,Retail,62,49600
2026-02-18,Industrial Zone,Services,27,32400
2026-02-18,Industrial Zone,Healthcare,17,25500
2026-02-18,Industrial Zone,Food & Beverage,101,35350
2026-02-18,Industrial Zone,Grocery,80,48000
2026-02-18,Central Mall,Healthcare,67,100500
2026-02-18,Central Mall,Retail,220,176000
2026-02-18,Central Mall,Entertainment,201,100500
2026-02-18,Central Mall,Grocery,309,185400
2026-02-18,Station Area,Grocery,210,126000
2026-02-18,Station Area,Retail,176,140800
2026-02-18,Station Area,Food & Beverage,273,95550
2026-02-18,Station Area,Entertainment,137,68500
2026-02-19,Market Street,Retail,160,128000
2026-02-19,Market Street,Healthcare,53,79500
2026-02-19,Market Street,Entertainment,117,58500
2026-02-19,Market Street,Services,88,105600
2026-02-19,Market Street,Grocery,210,126000
2026-02-19,Market Street,Food & Beverage,197,68950
2026-02-19,Tech Park,Healthcare,84,126000
2026-02-19,Tech Park,Entertainment,185,92500
2026-02-19,Tech Park,Services,107,128400
2026-02-19,Tech Park,Retail,209,167200
2026-02-19,Old Town,Entertainment,84,42000
2026-02-19,Old Town,Grocery,186,111600
2026-02-19,Old Town,Retail,142,113600
2026-02-19,Old Town,Services,64,76800
2026-02-19,Old Town,Food & Beverage,219,76650
2026-02-19,Old Town,Healthcare,40,60000
2026-02-19,Riverside,Food & Beverage,108,37800
2026-02-19,Riverside,Healthcare,23,34500
2026-02-19,Riverside,Grocery,101,60600
2026-02-19,Riverside,Retail,71,56800
2026-02-19,Riverside,Services,39,46800
2026-02-19,College Road,Retail,138,110400
2026-02-19,College Road,Grocery,185,111000
2026-02-19,College Road,Entertainment,112,56000
2026-02-19,College Road,Services,66,79200
2026-02-19,College Road,Food & Beverage,216,75600
2026-02-19,College Road,Healthcare,40,60000
2026-02-19,Industrial Zone,Entertainment,60,30000
2026-02-19,Industrial Zone,Retail,54,43200
2026-02-19,Industrial Zone,Services,41,49200
2026-02-19,Industrial Zone,Healthcare,26,39000
2026-02-19,Industrial Zone,Food & Beverage,111,38850
2026-02-19,Industrial Zone,Grocery,68,40800
2026-02-19,Central Mall,Healthcare,74,111000
2026-02-19,Central Mall,Retail,230,184000
2026-02-19,Central Mall,Entertainment,166,83000
2026-02-19,Central Mall,Grocery,293,175800
2026-02-19,Station Area,Grocery,290,174000
2026-02-19,Station Area,Retail,201,160800
2026-02-19,Station Area,Food & Beverage,285,99750
2026-02-19,Station Area,Entertainment,126,63000
2026-02-20,Market Street,Retail,158,126400
2026-02-20,Market Street,Healthcare,53,79500
2026-02-20,Market Street,Entertainment,137,68500
2026-02-20,Market Street,Services,82,98400
2026-02-20,Market Street,Grocery,229,137400
2026-02-20,Market Street,Food & Beverage,325,113750
2026-02-20,Tech Park,Healthcare,62,93000
2026-02-20,Tech Park,Entertainment,138,69000
2026-02-20,Tech Park,Services,91,109200
2026-02-20,Tech Park,Retail,167,133600
2026-02-20,Old Town,Entertainment,97,48500
2026-02-20,Old Town,Grocery,136,81600
2026-02-20,Old Town,Retail,109,87200
2026-02-20,Old Town,Services,58,69600
2026-02-20,Old Town,Food & Beverage,173,60550
2026-02-20,Old Town,Healthcare,31,46500
2026-02-20,Riverside,Food & Beverage,134,46900
2026-02-20,Riverside,Healthcare,25,37500
2026-02-20,Riverside,Grocery,109,65400
2026-02-20,Riverside,Retail,74,59200
2026-02-20,Riverside,Services,46,55200
2026-02-20,College Road,Retail,142,113600
2026-02-20,College Road,Grocery,244,146400
2026-02-20,College Road,Entertainment,103,51500
2026-02-20,College Road,Services,87,104400
2026-02-20,College Road,Food & Beverage,273,95550
2026-02-20,College Road,Healthcare,48,72000
2026-02-20,Industrial Zone,Entertainment,54,27000
2026-02-20,Industrial Zone,Retail,73,58400
2026-02-20,Industrial Zone,Services,27,32400
2026-02-20,Industrial Zone,Healthcare,22,33000
2026-02-20,Industrial Zone,Food & Beverage,82,28700
2026-02-20,Industrial Zone,Grocery,78,46800
2026-02-20,Central Mall,Healthcare,83,124500
2026-02-20,Central Mall,Retail,201,160800
2026-02-20,Central Mall,Entertainment,151,75500
2026-02-20,Central Mall,Grocery,280,168000
2026-02-20,Station Area,Grocery,273,163800
2026-02-20,Station Area,Retail,138,110400
2026-02-20,Station Area,Food & Beverage,253,88550
2026-02-20,Station Area,Entertainment,156,78000
2026-02-21,Market Street,Retail,314,251200
2026-02-21,Market Street,Healthcare,87,130500
2026-02-21,Market Street,Entertainment,185,92500
2026-02-21,Market Street,Services,171,205200
2026-02-21,Market Street,Grocery,409,245400
2026-02-21,Market Street,Food & Beverage,472,165200
2026-02-21,Tech Park,Healthcare,44,66000
2026-02-21,Tech Park,Entertainment,116,58000
2026-02-21,Tech Park,Services,76,91200
2026-02-21,Tech Park,Retail,151,120800
2026-02-21,Old Town,Entertainment,148,74000
2026-02-21,Old Town,Grocery,234,140400
2026-02-21,Old Town,Retail,144,115200
2026-02-21,Old Town,Services,98,117600
2026-02-21,Old Town,Food & Beverage,278,97300
2026-02-21,Old Town,Healthcare,57,85500
2026-02-21,Riverside,Food & Beverage,190,66500
2026-02-21,Riverside,Healthcare,29,43500
2026-02-21,Riverside,Grocery,132,79200
2026-02-21,Riverside,Retail,94,75200
2026-02-21,Riverside,Services,44,52800
2026-02-21,College Road,Retail,113,90400
2026-02-21,College Road,Grocery,182,109200
2026-02-21,College Road,Entertainment,71,35500
2026-02-21,College Road,Services,58,69600
2026-02-21,College Road,Food & Beverage,194,67900
2026-02-21,College Road,Healthcare,36,54000
2026-02-21,Industrial Zone,Entertainment,54,27000
2026-02-21,Industrial Zone,Retail,59,47200
2026-02-21,Industrial Zone,Services,37,44400
2026-02-21,Industrial Zone,Healthcare,21,31500
2026-02-21,Industrial Zone,Food & Beverage,89,31150
2026-02-21,Industrial Zone,Grocery,102,61200
2026-02-21,Central Mall,Healthcare,123,184500
2026-02-21,Central Mall,Retail,338,270400
2026-02-21,Central Mall,Entertainment,275,137500
2026-02-21,Central Mall,Grocery,497,298200
2026-02-21,Station Area,Grocery,220,132000
2026-02-21,Station Area,Retail,176,140800
2026-02-21,Station Area,Food & Beverage,261,91350
2026-02-21,Station Area,Entertainment,146,73000
2026-02-22,Market Street,Retail,304,243200
2026-02-22,Market Street,Healthcare,100,150000
2026-02-22,Market Street,Entertainment,206,103000
2026-02-22,Market Street,Services,162,194400
2026-02-22,Market Street,Grocery,361,216600
2026-02-22,Market Street,Food & Beverage,461,161350
2026-02-22,Tech Park,Healthcare,43,64500
2026-02-22,Tech Park,Entertainment,101,50500
2026-02-22,Tech Park,Services,91,109200
2026-02-22,Tech Park,Retail,160,128000
2026-02-22,Old Town,Entertainment,159,79500
2026-02-22,Old Town,Grocery,196,117600
2026-02-22,Old Town,Retail,168,134400
2026-02-22,Old Town,Services,77,92400
2026-02-22,Old Town,Food & Beverage,260,91000
2026-02-22,Old Town,Healthcare,50,75000
2026-02-22,Riverside,Food & Beverage,206,72100
2026-02-22,Riverside,Healthcare,35,52500
2026-02-22,Riverside,Grocery,162,97200
2026-02-22,Riverside,Retail,116,92800
2026-02-22,Riverside,Services,72,86400
2026-02-22,College Road,Retail,124,99200
2026-02-22,College Road,Grocery,218,130800
2026-02-22,College Road,Entertainment,130,65000
2026-02-22,College Road,Services,70,84000
2026-02-22,College Road,Food & Beverage,267,93450
2026-02-22,College Road,Healthcare,50,75000
2026-02-22,Industrial Zone,Entertainment,55,27500
2026-02-22,Industrial Zone,Retail,65,52000
2026-02-22,Industrial Zone,Services,35,42000
2026-02-22,Industrial Zone,Healthcare,28,42000
2026-02-22,Industrial Zone,Food & Beverage,118,41300
2026-02-22,Industrial Zone,Grocery,102,61200
2026-02-22,Central Mall,Healthcare,98,147000
2026-02-22,Central Mall,Retail,296,236800
2026-02-22,Central Mall,Entertainment,285,142500
2026-02-22,Central Mall,Grocery,371,222600
2026-02-22,Station Area,Grocery,236,141600
2026-02-22,Station Area,Retail,186,148800
2026-02-22,Station Area,Food & Beverage,312,109200
2026-02-22,Station Area,Entertainment,145,72500
2026-02-23,Market Street,Retail,205,164000
2026-02-23,Market Street,Healthcare,70,105000
2026-02-23,Market Street,Entertainment,169,84500
2026-02-23,Market Street,Services,94,112800
2026-02-23,Market Street,Grocery,255,153000
2026-02-23,Market Street,Food & Beverage,368,128800
2026-02-23,Tech Park,Healthcare,73,109500
2026-02-23,Tech Park,Entertainment,140,70000
2026-02-23,Tech Park,Services,112,134400
2026-02-23,Tech Park,Retail,163,130400
2026-02-23,Old Town,Entertainment,81,40500
2026-02-23,Old Town,Grocery,160,96000
2026-02-23,Old Town,Retail,91,72800
2026-02-23,Old Town,Services,49,58800
2026-02-23,Old Town,Food & Beverage,181,63350
2026-02-23,Old Town,Healthcare,28,42000
2026-02-23,Riverside,Food & Beverage,128,44800
2026-02-23,Riverside,Healthcare,29,43500
2026-02-23,Riverside,Grocery,103,61800
2026-02-23,Riverside,Retail,80,64000
2026-02-23,Riverside,Services,47,56400
2026-02-23,College Road,Retail,183,146400
2026-02-23,College Road,Grocery,241,144600
2026-02-23,College Road,Entertainment,136,68000
2026-02-23,College Road,Services,97,116400
2026-02-23,College Road,Food & Beverage,290,101500
2026-02-23,College Road,Healthcare,61,91500
2026-02-23,Industrial Zone,Entertainment,40,20000
2026-02-23,Industrial Zone,Retail,52,41600
2026-02-23,Industrial Zone,Services,25,30000
2026-02-23,Industrial Zone,Healthcare,17,25500
2026-02-23,Industrial Zone,Food & Beverage,82,28700
2026-02-23,Industrial Zone,Grocery,63,37800
2026-02-23,Central Mall,Healthcare,72,108000
2026-02-23,Central Mall,Retail,217,173600
2026-02-23,Central Mall,Entertainment,183,91500
2026-02-23,Central Mall,Grocery,271,162600
2026-02-23,Station Area,Grocery,200,120000
2026-02-23,Station Area,Retail,152,121600
2026-02-23,Station Area,Food & Beverage,250,87500
2026-02-23,Station Area,Entertainment,105,52500
2026-02-24,Market Street,Retail,186,148800
2026-02-24,Market Street,Healthcare,63,94500
2026-02-24,Market Street,Entertainment,147,73500
2026-02-24,Market Street,Services,77,92400
2026-02-24,Market Street,Grocery,249,149400
2026-02-24,Market Street,Food & Beverage,374,130900
2026-02-24,Tech Park,Healthcare,62,93000
2026-02-24,Tech Park,Entertainment,143,71500
2026-02-24,Tech Park,Services,107,128400
2026-02-24,Tech Park,Retail,199,159200
2026-02-24,Old Town,Entertainment,110,55000
2026-02-24,Old Town,Grocery,143,85800
2026-02-24,Old Town,Retail,131,104800
2026-02-24,Old Town,Services,69,82800
2026-02-24,Old Town,Food & Beverage,201,70350
2026-02-24,Old Town,Healthcare,42,63000
2026-02-24,Riverside,Food & Beverage,144,50400
2026-02-24,Riverside,Healthcare,28,42000
2026-02-24,Riverside,Grocery,92,55200
2026-02-24,Riverside,Retail,85,68000
2026-02-24,Riverside,Services,41,49200
2026-02-24,College Road,Retail,185,148000
2026-02-24,College Road,Grocery,247,148200
2026-02-24,College Road,Entertainment,145,72500
2026-02-24,College Road,Services,109,130800
2026-02-24,College Road,Food & Beverage,304,106400
2026-02-24,College Road,Healthcare,54,81000
2026-02-24,Industrial Zone,Entertainment,42,21000
2026-02-24,Industrial Zone,Retail,56,44800
2026-02-24,Industrial Zone,Services,33,39600
2026-02-24,Industrial Zone,Healthcare,19,28500
2026-02-24,Industrial Zone,Food & Beverage,84,29400
2026-02-24,Industrial Zone,Grocery,92,55200
2026-02-24,Central Mall,Healthcare,69,103500
2026-02-24,Central Mall,Retail,228,182400
2026-02-24,Central Mall,Entertainment,159,79500
2026-02-24,Central Mall,Grocery,285,171000
2026-02-24,Station Area,Grocery,248,148800
2026-02-24,Station Area,Retail,192,153600
2026-02-24,Station Area,Food & Beverage,316,110600
2026-02-24,Station Area,Entertainment,149,74500
2026-02-25,Market Street,Retail,187,149600
2026-02-25,Market Street,Healthcare,60,90000
2026-02-25,Market Street,Entertainment,160,80000
2026-02-25,Market Street,Services,113,135600
2026-02-25,Market Street,Grocery,252,151200
2026-02-25,Market Street,Food & Beverage,357,124950
2026-02-25,Tech Park,Healthcare,69,103500
2026-02-25,Tech Park,Entertainment,132,66000
2026-02-25,Tech Park,Services,89,106800
2026-02-25,Tech Park,Retail,180,144000
2026-02-25,Old Town,Entertainment,75,37500
2026-02-25,Old Town,Grocery,115,69000
2026-02-25,Old Town,Retail,104,83200
2026-02-25,Old Town,Services,50,60000
2026-02-25,Old Town,Food & Beverage,153,53550
2026-02-25,Old Town,Healthcare,26,39000
2026-02-25,Riverside,Food & Beverage,112,39200
2026-02-25,Riverside,Healthcare,26,39000
2026-02-25,Riverside,Grocery,81,48600
2026-02-25,Riverside,Retail,85,68000
2026-02-25,Riverside,Services,40,48000
2026-02-25,College Road,Retail,193,154400
2026-02-25,College Road,Grocery,239,143400
2026-02-25,College Road,Entertainment,114,57000
2026-02-25,College Road,Services,77,92400
2026-02-25,College Road,Food & Beverage,267,93450
2026-02-25,College Road,Healthcare,56,84000
2026-02-25,Industrial Zone,Entertainment,44,22000
2026-02-25,Industrial Zone,Retail,54,43200
2026-02-25,Industrial Zone,Services,33,39600
2026-02-25,Industrial Zone,Healthcare,23,34500
2026-02-25,Industrial Zone,Food & Beverage,115,40250
2026-02-25,Industrial Zone,Grocery,97,58200
2026-02-25,Central Mall,Healthcare,71,106500
2026-02-25,Central Mall,Retail,186,148800
2026-02-25,Central Mall,Entertainment,210,105000
2026-02-25,Central Mall,Grocery,296,177600
2026-02-25,Station Area,Grocery,169,101400
2026-02-25,Station Area,Retail,161,128800
2026-02-25,Station Area,Food & Beverage,286,100100
2026-02-25,Station Area,Entertainment,126,63000
2026-02-26,Market Street,Retail,172,137600
2026-02-26,Market Street,Healthcare,59,88500
2026-02-26,Market Street,Entertainment,139,69500
2026-02-26,Market Street,Services,83,99600
2026-02-26,Market Street,Grocery,223,133800
2026-02-26,Market Street,Food & Beverage,316,110600
2026-02-26,Tech Park,Healthcare,57,85500
2026-02-26,Tech Park,Entertainment,136,68000
2026-02-26,Tech Park,Services,80,96000
2026-02-26,Tech Park,Retail,164,131200
2026-02-26,Old Town,Entertainment,68,34000
2026-02-26,Old Town,Grocery,148,88800
2026-02-26,Old Town,Retail,124,99200
2026-02-26,Old Town,Services,49,58800
2026-02-26,Old Town,Food & Beverage,171,59850
2026-02-26,Old Town,Healthcare,37,55500
2026-02-26,Riverside,Food & Beverage,158,55300
2026-02-26,Riverside,Healthcare,26,39000
2026-02-26,Riverside,Grocery,104,62400
2026-02-26,Riverside,Retail,67,53600
2026-02-26,Riverside,Services,45,54000
2026-02-26,College Road,Retail,180,144000
2026-02-26,College Road,Grocery,205,123000
2026-02-26,College Road,Entertainment,119,59500
2026-02-26,College Road,Services,82,98400
2026-02-26,College Road,Food & Beverage,250,87500
2026-02-26,College Road,Healthcare,46,69000
2026-02-26,Industrial Zone,Entertainment,56,28000
2026-02-26,Industrial Zone,Retail,66,52800
2026-02-26,Industrial Zone,Services,34,40800
2026-02-26,Industrial Zone,Healthcare,19,28500
2026-02-26,Industrial Zone,Food & Beverage,122,42700
2026-02-26,Industrial Zone,Grocery,92,55200
2026-02-26,Central Mall,Healthcare,70,105000
2026-02-26,Central Mall,Retail,248,198400
2026-02-26,Central Mall,Entertainment,171,85500
2026-02-26,Central Mall,Grocery,277,166200
2026-02-26,Station Area,Grocery,199,119400
2026-02-26,Station Area,Retail,133,106400
2026-02-26,Station Area,Food & Beverage,282,98700
2026-02-26,Station Area,Entertainment,105,52500
2026-02-27,Market Street,Retail,163,130400
2026-02-27,Market Street,Healthcare,49,73500
2026-02-27,Market Street,Entertainment,148,74000
2026-02-27,Market Street,Services,98,117600
2026-02-27,Market Street,Grocery,241,144600
2026-02-27,Market Street,Food & Beverage,279,97650
2026-02-27,Tech Park,Healthcare,49,73500
2026-02-27,Tech Park,Entertainment,141,70500
2026-02-27,Tech Park,Services,84,100800
2026-02-27,Tech Park,Retail,173,138400
2026-02-27,Old Town,Entertainment,76,38000
2026-02-27,Old Town,Grocery,142,85200
2026-02-27,Old Town,Retail,118,94400
2026-02-27,Old Town,Services,59,70800
2026-02-27,Old Town,Food & Beverage,167,58450
2026-02-27,Old Town,Healthcare,35,52500
2026-02-27,Riverside,Food & Beverage,115,40250
2026-02-27,Riverside,Healthcare,23,34500
2026-02-27,Riverside,Grocery,91,54600
2026-02-27,Riverside,Retail,69,55200
2026-02-27,Riverside,Services,38,45600
2026-02-27,College Road,Retail,170,136000
2026-02-27,College Road,Grocery,226,135600
2026-02-27,College Road,Entertainment,130,65000
2026-02-27,College Road,Services,84,100800
2026-02-27,College Road,Food & Beverage,276,96600
2026-02-27,College Road,Healthcare,64,96000
2026-02-27,Industrial Zone,Entertainment,45,22500
2026-02-27,Industrial Zone,Retail,66,52800
2026-02-27,Industrial Zone,Services,33,39600
2026-02-27,Industrial Zone,Healthcare,16,24000
2026-02-27,Industrial Zone,Food & Beverage,111,38850
2026-02-27,Industrial Zone,Grocery,90,54000
2026-02-27,Central Mall,Healthcare,66,99000
2026-02-27,Central Mall,Retail,231,184800
2026-02-27,Central Mall,Entertainment,162,81000
2026-02-27,Central Mall,Grocery,299,179400
2026-02-27,Station Area,Grocery,204,122400
2026-02-27,Station Area,Retail,144,115200
2026-02-27,Station Area,Food & Beverage,281,98350
2026-02-27,Station Area,Entertainment,138,69000
2026-02-28,Market Street,Retail,251,200800
2026-02-28,Market Street,Healthcare,76,114000
2026-02-28,Market Street,Entertainment,201,100500
2026-02-28,Market Street,Services,143,171600
2026-02-28,Market Street,Grocery,347,208200
2026-02-28,Market Street,Food & Beverage,444,155400
2026-02-28,Tech Park,Healthcare,43,64500
2026-02-28,Tech Park,Entertainment,124,62000
2026-02-28,Tech Park,Services,65,78000
2026-02-28,Tech Park,Retail,145,116000
2026-02-28,Old Town,Entertainment,144,72000
2026-02-28,Old Town,Grocery,225,135000
2026-02-28,Old Town,Retail,158,126400
2026-02-28,Old Town,Services,81,97200
2026-02-28,Old Town,Food & Beverage,297,103950
2026-02-28,Old Town,Healthcare,46,69000
2026-02-28,Riverside,Food & Beverage,175,61250
2026-02-28,Riverside,Healthcare,37,55500
2026-02-28,Riverside,Grocery,174,104400
2026-02-28,Riverside,Retail,121,96800
2026-02-28,Riverside,Services,56,67200
2026-02-28,College Road,Retail,116,92800
2026-02-28,College Road,Grocery,150,90000
2026-02-28,College Road,Entertainment,89,44500
2026-02-28,College Road,Services,70,84000
2026-02-28,College Road,Food & Beverage,173,60550
2026-02-28,College Road,Healthcare,46,69000
2026-02-28,Industrial Zone,Entertainment,51,25500
2026-02-28,Industrial Zone,Retail,66,52800
2026-02-28,Industrial Zone,Services,30,36000
2026-02-28,Industrial Zone,Healthcare,19,28500
2026-02-28,Industrial Zone,Food & Beverage,85,29750
2026-02-28,Industrial Zone,Grocery,75,45000
2026-02-28,Central Mall,Healthcare,112,168000
2026-02-28,Central Mall,Retail,364,291200
2026-02-28,Central Mall,Entertainment,229,114500
2026-02-28,Central Mall,Grocery,414,248400
2026-02-28,Station Area,Grocery,185,111000
2026-02-28,Station Area,Retail,121,96800
2026-02-28,Station Area,Food & Beverage,248,86800
2026-02-28,Station Area,Entertainment,104,52000
2026-03-01,Market Street,Retail,227,181600
2026-03-01,Market Street,Healthcare,73,109500
2026-03-01,Market Street,Entertainment,171,85500
2026-03-01,Market Street,Services,123,147600
2026-03-01,Market Street,Grocery,302,181200
2026-03-01,Market Street,Food & Beverage,372,130200
2026-03-01,Tech Park,Healthcare,48,72000
2026-03-01,Tech Park,Entertainment,129,64500
2026-03-01,Tech Park,Services,97,116400
2026-03-01,Tech Park,Retail,159,127200
2026-03-01,Old Town,Entertainment,153,76500
2026-03-01,Old Town,Grocery,200,120000
2026-03-01,Old Town,Retail,177,141600
2026-03-01,Old Town,Services,82,98400
2026-03-01,Old Town,Food & Beverage,247,86450
2026-03-01,Old Town,Healthcare,53,79500
2026-03-01,Riverside,Food & Beverage,201,70350
2026-03-01,Riverside,Healthcare,39,58500
2026-03-01,Riverside,Grocery,147,88200
2026-03-01,Riverside,Retail,91,72800
2026-03-01,Riverside,Services,56,67200
2026-03-01,College Road,Retail,135,108000
2026-03-01,College Road,Grocery,178,106800
2026-03-01,College Road,Entertainment,85,42500
2026-03-01,College Road,Services,63,75600
2026-03-01,College Road,Food & Beverage,218,76300
2026-03-01,College Road,Healthcare,46,69000
2026-03-01,Industrial Zone,Entertainment,40,20000
2026-03-01,Industrial Zone,Retail,63,50400
2026-03-01,Industrial Zone,Services,34,40800
2026-03-01,Industrial Zone,Healthcare,23,34500
2026-03-01,Industrial Zone,Food & Beverage,114,39900
2026-03-01,Industrial Zone,Grocery,91,54600
2026-03-01,Central Mall,Healthcare,126,189000
2026-03-01,Central Mall,Retail,333,266400
2026-03-01,Central Mall,Entertainment,316,158000
2026-03-01,Central Mall,Grocery,603,361800
2026-03-01,Station Area,Grocery,286,171600
2026-03-01,Station Area,Retail,201,160800
2026-03-01,Station Area,Food & Beverage,327,114450
2026-03-01,Station Area,Entertainment,156,78000
2026-03-02,Market Street,Retail,176,140800
2026-03-02,Market Street,Healthcare,61,91500
2026-03-02,Market Street,Entertainment,174,87000
2026-03-02,Market Street,Services,90,108000
2026-03-02,Market Street,Grocery,289,173400
2026-03-02,Market Street,Food & Beverage,301,105350
2026-03-02,Tech Park,Healthcare,64,96000
2026-03-02,Tech Park,Entertainment,116,58000
2026-03-02,Tech Park,Services,96,115200
2026-03-02,Tech Park,Retail,157,125600
2026-03-02,Old Town,Entertainment,65,32500
2026-03-02,Old Town,Grocery,130,78000
2026-03-02,Old Town,Retail,105,84000
2026-03-02,Old Town,Services,46,55200
2026-03-02,Old Town,Food & Beverage,136,47600
2026-03-02,Old Town,Healthcare,31,46500
2026-03-02,Riverside,Food & Beverage,132,46200
2026-03-02,Riverside,Healthcare,28,42000
2026-03-02,Riverside,Grocery,116,69600
2026-03-02,Riverside,Retail,79,63200
2026-03-02,Riverside,Services,50,60000
2026-03-02,College Road,Retail,157,125600
2026-03-02,College Road,Grocery,197,118200
2026-03-02,College Road,Entertainment,103,51500
2026-03-02,College Road,Services,79,94800
2026-03-02,College Road,Food & Beverage,247,86450
2026-03-02,College Road,Healthcare,56,84000
2026-03-02,Industrial Zone,Entertainment,46,23000
2026-03-02,Industrial Zone,Retail,49,39200
2026-03-02,Industrial Zone,Services,30,36000
2026-03-02,Industrial Zone,Healthcare,19,28500
2026-03-02,Industrial Zone,Food & Beverage,107,37450
2026-03-02,Industrial Zone,Grocery,81,48600
2026-03-02,Central Mall,Healthcare,80,120000
2026-03-02,Central Mall,Retail,225,180000
2026-03-02,Central Mall,Entertainment,186,93000
2026-03-02,Central Mall,Grocery,335,201000
2026-03-02,Station Area,Grocery,182,109200
2026-03-02,Station Area,Retail,152,121600
2026-03-02,Station Area,Food & Beverage,243,85050
2026-03-02,Station Area,Entertainment,131,65500
2026-03-03,Market Street,Retail,241,192800
2026-03-03,Market Street,Healthcare,67,100500
2026-03-03,Market Street,Entertainment,130,65000
2026-03-03,Market Street,Services,109,130800
2026-03-03,Market Street,Grocery,312,187200
2026-03-03,Market Street,Food & Beverage,376,131600
2026-03-03,Tech Park,Healthcare,68,102000
2026-03-03,Tech Park,Entertainment,153,76500
2026-03-03,Tech Park,Services,91,109200
2026-03-03,Tech Park,Retail,207,165600
2026-03-03,Old Town,Entertainment,80,40000
2026-03-03,Old Town,Grocery,179,107400
2026-03-03,Old Town,Retail,116,92800
2026-03-03,Old Town,Services,55,66000
2026-03-03,Old Town,Food & Beverage,172,60200
2026-03-03,Old Town,Healthcare,36,54000
2026-03-03,Riverside,Food & Beverage,143,50050
2026-03-03,Riverside,Healthcare,32,48000
2026-03-03,Riverside,Grocery,119,71400
2026-03-03,Riverside,Retail,81,64800
2026-03-03,Riverside,Services,55,66000
2026-03-03,College Road,Retail,165,132000
2026-03-03,College Road,Grocery,236,141600
2026-03-03,College Road,Entertainment,123,61500
2026-03-03,College Road,Services,91,109200
2026-03-03,College Road,Food & Beverage,283,99050
2026-03-03,College Road,Healthcare,44,66000
2026-03-03,Industrial Zone,Entertainment,56,28000
2026-03-03,Industrial Zone,Retail,66,52800
2026-03-03,Industrial Zone,Services,30,36000
2026-03-03,Industrial Zone,Healthcare,17,25500
2026-03-03,Industrial Zone,Food & Beverage,101,35350
2026-03-03,Industrial Zone,Grocery,78,46800
2026-03-03,Central Mall,Healthcare,91,136500
2026-03-03,Central Mall,Retail,270,216000
2026-03-03,Central Mall,Entertainment,222,111000
2026-03-03,Central Mall,Grocery,404,242400
2026-03-03,Station Area,Grocery,254,152400
2026-03-03,Station Area,Retail,161,128800
2026-03-03,Station Area,Food & Beverage,342,119700
2026-03-03,Station Area,Entertainment,168,84000
2026-03-04,Market Street,Retail,228,182400
2026-03-04,Market Street,Healthcare,51,76500
2026-03-04,Market Street,Entertainment,142,71000
